Vote_Data_Donald_Trump_Percent_of_Votes,Vote_Data_Ted_Cruz_Percent_of_Votes,Vote_Data_John_Kasich_Percent_of_Votes,Vote_Data_Marco_Rubio_Percent_of_Votes,Vote_Data_Ben_Carson_Percent_of_Votes
47.5,25.7,2.6,13.1,9
26.9,47.3,0,15.6,8.6
57,11.4,29.7,0,0
72.9,16.3,10.8,0,0
25.9,49.7,3.1,12.1,7.2
40.1,33.4,1.9,16.3,5.7
37.5,45,1.3,11.3,2.5
50.6,20.3,2.7,13.5,11
37.6,23.2,6.3,24.5,7.1
40.3,40.3,8.5,5.9,0
46.2,24.7,8.7,17.4,0
47.4,35.3,7.6,6.6,0
82.8,7.4,9.9,0,0
51.1,26.8,19.6,0,0
59.8,11.5,27.7,0,0
43.2,25.7,5.6,16.5,6.6
46.6,19.5,1.9,23,6.3
64.9,16.5,10.8,0,0
54.3,12.9,11.4,15.7,1.4
54.2,23.2,10.6,9,0
78.1,10.7,3.8,0,0
77.8,13.2,9.1,0,0
41.8,27.7,8.8,16.9,0
78.3,7.2,4.8,0,0
64.3,20.5,6.2,0,0
22.1,42.5,2.2,24.8,7
71.7,15.2,13.1,0,0
32.6,8.7,54.4,3.3,0
41.2,19.9,4.3,23.7,9.8
39.1,49.5,5.6,3.4,0
67.5,16,6.9,0,0
45.3,21.9,3.6,13,12.5
30.4,46.7,1.6,10.6,6.7
59.7,20.7,2.6,8.7,5.3
37.2,33.8,0.2,20.5,5.9
20.7,23.2,2.3,33.9,6.7
45.8,44.3,4.9,3.4,0
24.8,35,7.9,26.4,3.4
36.3,12.5,20.3,23.2,3.9
65.7,12.2,20.4,0,0
43.1,9.7,23.1,15.4,6.2
30.3,38.2,29.1,0,0
76.1,5.4,9.6,0,0
53.3,9.5,17.2,15.2,2.2
44.2,18.3,5.7,22.1,8.3
31.6,10.4,32,19.3,3.3
50.1,21.9,15.6,8.4,0
41.5,7.2,49.8,0,0
42.6,13.9,39.5,1.9,0
37.8,29.2,3.7,15.6,5.9
54.8,9,13.7,16.8,3.4
53.5,25.6,18.3,0,0
45.2,38.6,7.8,5.6,0
31,22,8.8,29.3,6.6
41.1,35.9,13.1,6.7,0
60.7,29.9,6.1,0,0
25.3,36.9,14.3,22.3,0
50.3,32.5,8.3,5.9,0
38.6,31.6,0.2,7,7.2
11.3,68.4,20.3,0,0
68.2,13.8,18.1,0,0
58.4,17.8,9.1,0,0
45.4,25.1,4.6,18.8,5.3
74.6,7,6.8,0,0
66.2,15.4,9.7,0,0
23.9,43.7,2.2,17.6,5.5
72.6,14,13.4,0,0
31.2,49.2,2.2,10.2,3
75.9,10.6,6.5,0,0
47.6,16.4,2.5,21.6,9.8
25.2,15.4,12.6,41.2,4
37.1,30.9,19.3,9.7,0
47.6,42.5,7.1,0,0
44,39.5,7,5.8,0
50.7,24.5,3.6,14.1,7.2
58.2,18.2,4.2,17.1,0
38.6,46.4,3.5,8.1,0
40,46.9,5.7,5.7,0
40.8,38.5,10.4,6.6,0
21.9,51.3,3.9,15.5,5.1
64.5,23.1,10.6,0,0
48.5,22.3,3.6,17.3,6.7
25.6,34.8,0.8,14.7,16.1
56.5,35.3,5.9,0,0
52.8,23,2.9,12.5,6.9
49.9,8.6,19.5,17.6,1.6
56.7,9.5,30.8,0,0
81.5,8,3.4,0,0
36.3,8.4,29.3,18.9,3.4
30.9,16.7,47.1,3,0
78.6,8.9,6,0,0
22.1,35.5,0.2,19.2,10.3
52.8,37,7.5,0,0
59.1,17.2,23.7,0,0
21.6,12,63.9,1.7,0
36.9,29.2,2.8,22.9,6.7
52.2,16.1,28.3,0,0
0,0,0,0,0
39.6,28.4,17.7,8.8,0
35.9,44.1,1.9,10.6,4.7
49.9,9,19.3,15.3,3.4
51.4,36.5,5.1,4.2,0
25.4,41.1,5,21.9,4.2
0,0,0,0,0
75.3,11.6,12.5,0,0
35.1,6.7,26.2,21.1,7.7
30.4,28.3,0.9,20.8,9.8
67.9,14.7,17.4,0,0
53.1,17,1.1,22,3.6
77.6,10.8,7.1,0,0
54.2,22.7,23.1,0,0
30.4,42.6,0.7,14.5,10.4
76.7,13.8,9.5,0,0
28.3,45.7,0.9,9.2,8.4
60.5,14.5,2.2,15.5,6.5
28.5,21.6,2.2,23.8,13.2
39,28,20,8,0
43.8,28.3,3.2,14.8,8.3
53.6,13.8,11.5,15.4,4
36.3,34.1,2.4,16.6,4.2
30,55,3,11,1
52,16.4,3.6,20.5,6.5
63.4,20.1,1.8,11.8,0
56.9,22.8,12.3,0,0
77.6,8.9,6.1,0,0
50.4,18.7,3.1,18,8.4
65.8,13.7,10.9,0,0
32.6,52.2,12.7,0,0
67.4,14,9.3,0,0
30.8,44.5,4.2,9.1,8.9
55.5,19,2.8,14.9,6.5
39.5,42.7,14.7,0,0
71.4,12.3,13.6,0,0
31.5,23.6,6.4,23.8,5.9
36.4,5.2,32.5,19.2,1.7
46.8,21.3,5.9,17.5,6.8
0,0,0,0,0
42.8,25.1,3.7,20.9,6.1
33.9,43,12.1,7.1,0
53,13.7,11.6,14.5,4.7
52.8,36.8,4.2,3,0
62.7,16.1,13,0,0
36.4,25.9,4.3,27.1,6.1
76,14.6,9.4,0,0
63.6,19.9,16.5,0,0
81,8.6,6.8,0,0
54.7,30.8,11.3,0,0
31.4,6.9,35.2,22.4,1.2
36.2,7.9,22,20.3,5.6
64.2,8.3,10.2,13.2,2.2
36.6,24.7,2.2,25.6,8.1
34.5,24.8,28.8,10,0
58.5,30.9,8.1,0,0
27.3,20.7,1.4,26.7,9.7
18.5,76.4,5.1,0,0
55.7,12.6,9.8,16,3.7
30.6,6.9,26.6,19.7,10.4
68.2,19.3,8.1,0,0
55.9,32.6,5.6,3.5,0
41.1,46.3,10.1,0,0
50.2,8.6,17.9,19.3,1.6
48.1,38.8,6.3,4.3,0
58.1,12,27.5,0,0
26.9,37.7,20.8,12.2,0
64.4,13.9,21.7,0,0
47.1,17.9,5.1,26.7,0
37.3,45.2,1.6,9.5,4.8
37.5,9.4,26.1,22.8,1.9
27.5,7.2,29.7,26.1,5.8
47.2,24.9,2.7,16,7.1
0,0,0,0,0
56.1,16.6,3.2,16.5,5.5
33.5,41.3,8.4,13.9,0
61.4,9.4,12.1,11.7,3.1
50.3,14.7,12.5,14.7,4.4
50,30.5,3.9,8.2,0
43.7,40.3,3.7,8.7,0
53.6,12.4,31.6,0,0
52.8,6.7,39.4,0,0
61.2,14.1,22.8,0,0
56.9,15.1,26.5,0,0
58,15.5,23.4,0,0
75.1,8.7,13.7,0,0
46.9,12.4,18.9,17.5,2.8
53.9,10.9,33.1,0,0
29.2,5.5,41.2,18.6,2.9
63.6,12.3,23.1,0,0
63.3,14,19.8,0,0
44.8,22.9,28.6,0,0
47.3,9.2,18.6,16.8,3.9
49.1,10.5,19,15.8,2.7
27.1,57.5,1.3,8.8,3.4
56.9,8,33,0,0
49.6,8.8,17.6,19.5,2.3
34.4,28.8,21.8,10.5,0
37.8,46.9,12.9,0,0
58.3,23.9,1.1,8,6.7
28.1,45.7,1.8,14.4,5.3
78.1,11.3,4.1,0,0
45.2,9.6,26,13.7,2.7
42.2,32.1,13.2,7.6,0
46.8,9.4,20.3,15.1,2.5
45.4,42.3,4,5.5,0
34.1,28.6,3.8,22.5,8.1
53,21,9.1,15,0
76.2,13.4,10.4,0,0
44.8,32.6,9.8,7.1,0
37,39.7,1.6,14.1,3.9
39.3,33.3,3.3,16.1,6.6
36.4,43.4,11.6,5.9,0
38,7,21.1,22.5,5.6
79.5,7.1,9.4,0,0
0,0,0,0,0
25.3,38,3.7,25.7,4.4
0,0,0,0,0
45.9,23.6,4.9,18.4,5.6
67.3,16.2,14.1,0,0
42.6,47.7,7.2,0,0
25.3,43.8,1.6,21.2,7.3
56.1,14.1,27.6,0,0
43.6,38.5,10.3,7.7,0
27.7,39.8,3.1,20.9,6.6
26.9,48.8,2.1,14.8,4.9
47.8,18.2,3.6,13.4,14.8
44.4,31.7,7.4,13.4,0
19.1,11.8,29.4,36.8,2.9
50.2,23.3,2.9,15.6,6.7
22.9,64.6,12.5,0,0
30.3,35.5,1,11.4,12.2
35.2,24.5,24.4,10.6,0
46.9,10.2,4.7,27.2,9.2
63.2,12.8,22.4,0,0
34.1,11.4,26.8,24.4,3.3
28.9,46.8,2.1,13.1,5.2
65.7,13,21.4,0,0
38.4,12.5,43.8,3,0
52.5,24.8,20.2,0,0
44.1,7.1,27.6,11.8,3.9
49.3,17.1,3.4,18,10.2
41.7,22.7,6.2,25.4,0
51.3,9.2,37.5,0,0
43.1,7.1,23.4,19.7,2.6
79.2,5.8,15,0,0
49.9,17.1,32.9,0,0
38.2,12.2,5.4,35,7.8
23.4,12.9,34.2,22.7,4.9
48,24.4,6.1,13.5,0
46.1,20.7,3.3,16.8,11.2
41.5,34.4,3.6,15.9,4.1
47.2,37.8,3.8,8.6,0
38,25.9,3.3,24.4,6.3
69.2,6.8,8.8,11.3,2.1
65.9,10.9,22.3,0,0
38,6.8,25.3,20.5,3.8
25,15.9,17.1,36.9,3.2
25.1,12.9,17.5,40,3.1
32.8,11.7,29.1,19.5,4.6
48.4,8.8,40.7,0,0
31,17,48.8,2.1,0
35.9,24.7,6.4,19.4,5.7
31.1,8.5,38.4,15.2,3.7
61.9,8.7,9.4,14.4,3.5
35.7,4.8,31,20.2,3.6
62.2,10.2,8.1,13.6,3.7
70.9,16.2,12.9,0,0
75.6,8.3,4.8,0,0
15.7,12.2,23.4,45.1,2.4
35.5,45.6,2.9,7.6,3.2
49.9,9.3,19.4,15.6,2.6
53.2,20.3,3.8,15.3,6.2
31.7,48.9,2.2,9.6,4.4
54.8,11.5,31.7,0,0
73.2,18,8.8,0,0
27.2,33.3,3.2,29,5.1
36.1,19.5,9,27.5,6.6
49.9,21,2.5,13.3,9.8
32.7,23.6,7,29.4,6.1
24,34.1,0.6,18,14.4
48.3,36.6,7.2,5.4,0
66.2,25.5,5.9,0,0
25.1,29.1,22,22.3,0
37.4,11.7,47.1,1.8,0
69.7,18.1,10.8,0,0
39.6,34.7,2.9,15.4,5.9
32.7,45.6,2.6,13.3,3.1
83.8,7.4,3.2,0,0
24.2,6.6,49.5,15.4,2.2
48.6,30.8,2.5,11.1,5
73,9.5,7.4,0,0
26.4,13.9,29.5,20.9,4.8
81.6,7.1,5.2,0,0
62.9,16.2,11.2,0,0
24.6,53.8,2.1,10.7,5.8
53.5,10.4,11,16.7,5
57.6,14.2,6.1,20,0
76.9,7.8,7.1,0,0
42.3,31.4,13.4,10.4,0
30.6,10.2,29.6,16.3,7.1
33.1,28.7,4.5,18.5,7
53.6,35.1,8.6,0,0
53.6,20.2,6,13.1,3.6
42.2,20.3,5.9,22.3,8.1
26.3,40.1,1.2,13.8,10.9
55.7,33.6,7.8,0,0
47.9,25.3,11.2,12.4,0
17.6,52.7,2.5,14.1,7.2
42,25.6,4,19.8,7.6
35.2,21.5,7.6,28.4,6.4
35.5,58.1,0,0,3.2
32.9,54.8,9.8,0,0
36.7,37.8,13.2,8.3,0
63.7,19.2,14.7,0,0
56.2,32.6,8,0,0
43.4,37.3,11.8,5.1,0
37.2,23.6,5.4,28.5,4.2
33.9,38.4,17.3,8.3,0
24.7,45.8,4.8,19.5,3
68.9,9.7,20.3,0,0
61.5,29.2,5.2,0,0
48.7,10,15.4,20.8,2.7
44.3,9,21.7,19.4,2.4
37.9,13.4,6.6,34.1,6.1
51.5,21.3,2.6,13.4,9.3
36.9,32.9,2.9,18.1,5.5
51.4,17.3,31.2,0,0
51.6,20.2,6,20.4,0
46,25.2,3.4,17,7
25.3,35.8,0.6,16.7,9.9
17.4,50.1,5.4,21.5,0
53.3,32.9,6.6,5.2,0
64.1,24.4,9.6,0,0
27.8,33.4,15.8,20.2,0
44.6,40.5,3.4,7.8,0
43,9.2,20,23.3,1.9
44.5,39.8,7.6,5.6,0
47.6,40.3,5.1,3.6,0
40.5,46.7,6.2,4.4,0
73.2,14.1,6.6,0,0
55.8,15.8,28.4,0,0
22.2,11.6,63.7,1.7,0
57.7,25.6,13.5,0,0
48,22.6,4.1,14.8,8.7
27.8,45.8,3.3,14,4.8
44.6,23.3,5.3,18.8,7.2
38.6,12.4,27.6,13.1,4.1
73.9,15.4,6,0,0
51.4,24.6,20.5,0,0
36.7,23,6,25.9,7.3
31.1,13.3,15.1,32.7,5.8
31.9,45.7,1.8,9,6.2
59.3,8.6,10.6,16.3,3.2
0,0,0,0,0
42.7,20.4,1.4,18.1,9.4
18,51.8,5.6,21.5,0
77.3,10.6,8,0,0
30.3,53.5,1.1,8.4,5.1
71.6,14.1,7.7,0,0
47,27.8,2.3,13.1,8
26.6,14.6,12.5,41.6,3.3
40.7,36.9,14.2,5.4,0
58.2,32.6,6.4,0,0
41.8,35.4,12.7,8.9,0
58,16.6,25.4,0,0
30.7,17.5,47.8,2.1,0
64.4,23.7,8.7,0,0
68.7,14.6,7.2,0,0
41.8,31.2,4.6,19.4,0
54.5,24.5,15.1,0,0
25,52.2,1.2,11.5,6.8
50.1,12.7,6.4,18.3,11.4
54.8,32,6.2,4.8,0
41.7,28.3,20.7,8.6,0
67,12.4,9.1,0,0
46.5,14.6,33.5,2.6,0
30.4,44.4,3.7,15.3,3.1
77,12.6,4.6,0,0
50.7,13.2,11.7,14.3,5.5
0,0,0,0,0
81,8.6,3.4,0,0
66,16.9,6.7,0,0
30.1,30.7,3.3,27.9,6
23.7,65.7,10.6,0,0
67.6,19.6,8.9,0,0
35.2,25.9,4.3,25.7,6.1
42.5,33.4,9.4,13,0
57.4,23.2,14.9,0,0
34.4,39.3,1.7,16.1,6.8
21.9,56.2,2.1,8.7,6.4
45.5,40.6,6.5,4.5,0
45.4,36.8,8.4,7,0
51.9,34.2,4.6,6,0
34,11.3,50.4,2.6,0
38.2,43.2,4.9,11,0
41.8,24.5,19.3,9,0
62.5,16.6,21,0,0
48.6,23.7,2.3,13,9.3
40.7,37.9,10.8,6.4,0
48.2,41.8,3.6,4.1,0
50.6,11.5,16.6,16.5,2.9
40.2,13.8,8.9,23.4,5.3
33.5,12.7,26.6,20.3,5.1
60.1,32.1,5.2,0,0
41.7,27.7,3.2,14.7,11.1
53.9,23.5,6.2,0,0
58.8,24.6,2.5,12.1,0
50.6,23.8,2.5,14,7.2
46.8,16.8,4.3,23.3,7.9
33.8,8.8,30.1,18.4,5.9
26.6,42,4.7,18.5,4.2
71.8,13.6,14.6,0,0
51.6,20.7,3.6,17.9,4.9
79.4,9.4,3.9,0,0
0,0,0,0,0
81,8.5,3,0,0
59.2,21.2,3.6,15.2,0
45.5,23.8,17.1,7.8,0
58.6,18.7,1.4,12.7,6.1
20.6,50.2,2.7,16.4,7.5
47.7,8.4,42.9,0,0
80.3,8.1,6.6,0,0
71.3,12.3,15.6,0,0
51.1,8.9,18.5,16.5,2.5
80.1,7.8,12.1,0,0
44.1,13.1,5.5,28.1,8
29.3,9.8,26.8,20.7,9.8
43.8,20.3,7.5,20.2,6.7
43.8,23.2,18.9,10.1,0
82.2,9.3,6.1,0,0
32.9,48.2,2.1,11.4,2.6
29.3,50.5,2.3,10.6,2.8
33.6,18.2,7.3,35.1,5
34.9,44.4,6.8,10.8,0
50.6,18.7,4.1,16.6,8.5
62.7,11.1,24.3,0,0
52.9,14.9,16.5,5.8,5.8
69.4,11.5,10.7,0,0
44.5,25.2,3.4,17.3,8.1
29.7,39.4,2.1,21.7,5.8
45.5,10,19.4,19.8,2.7
30.42803007,10.6603715,21.58787352,11.9463254,2.91979872
37.5,8.9,25,17,2.7
39.1,41.9,5.3,0,0
51.8,33,6.2,6.1,0
50.4,22.7,3.2,15.9,4.9
48.2,14.7,34.7,0,0
51.6,11.3,16.9,13,3.4
38.1,8.5,31,15,4.1
33.8,26.2,22.5,10.9,0
0,0,0,0,0
37.7,53.4,8.9,0,0
72.6,8.8,6.9,0,0
31.2,41.1,1.8,20.1,3.9
47,44.4,5.8,0,0
38.1,35.1,15.4,9.9,0
43.7,42.1,2.5,8.4,0
70.7,17.9,4.4,0,0
75.4,12.4,5.4,0,0
33.5,31.8,2.9,23.6,6.5
78.1,13.7,8.3,0,0
68.1,15.1,16.9,0,0
80.9,9.4,5,0,0
40.4,37.9,18.2,0,0
85.8,5.3,3,0,0
47.5,11.9,15.6,16.3,6.4
43.3,42.6,6.2,5,0
37.5,33.7,17.1,8,0
30.1,49.6,7.8,11.2,0
29.4,48.8,1.7,8.2,7
85.2,5.8,5.7,0,0
39.4,27.6,11.3,18.8,0
29.4,41.4,3.5,13.5,5.2
51.8,18.2,3.3,17.8,8
39.3,6.9,20.3,24.6,5.6
53,27.1,9.7,0,0
42.2,45.7,9.3,0,0
48.6,24.7,9.2,15.1,0
40.5,35.3,20.9,0,0
76.2,9.4,5.7,0,0
53.8,21.6,3.7,12.1,7
35.1,28.5,3.4,22,6.3
41.2,16.9,9.6,26,4.8
30,29.7,1.1,14.1,11.4
46.8,37.3,6.7,6,0
64.6,28.3,4.3,0,0
32.1,51.7,8.9,5.2,0
50.3,38.2,4.2,4.6,0
42.8,47.9,4.5,3.3,0
63.8,16.2,20,0,0
36.1,13.6,46.8,2.2,0
65.6,21.7,10.9,0,0
45.4,23.2,4,16.7,7.8
35.6,23.7,6.9,25.2,7.4
37.6,11.7,23.9,19,4.6
44.8,37.7,3.8,0,0
26.2,1.5,41.5,18.5,9.2
53.4,13.1,3.3,23,6.3
36.8,36.9,16.4,8.8,0
26.8,24.6,8.3,24.6,8.6
48.1,8.8,41.4,0,0
28.8,22.9,6.6,24.1,9.4
37.9,31.1,2.7,19.5,7.2
25.7,45.7,4,15.2,4.9
77.1,13.6,9.3,0,0
55.6,30.9,6.9,4.2,0
31.7,49.8,1.9,9.8,3.5
68.1,11,17.9,0,0
54.1,12.3,30.6,0,0
36.3,10,24,23.8,2.4
30.7,14.4,24.2,17,5.9
55.6,11,15.7,13,2.8
20.9,28.8,0.4,27.6,7.7
46.9,27.3,14.8,8,0
50.1,34.5,8.4,4,0
55.8,23.4,1.8,8.1,8.6
60,27.3,0.9,0,0
28.3,44.8,2.9,17.2,4.1
43.8,13.7,38.5,2.4,0
52.7,13.2,31.8,0,0
34.5,38,16,8.9,0
38.9,10.7,24.4,20.6,3.8
49.6,24.7,4.3,18.7,0
0,0,0,0,0
27.6,28.9,0.3,15.6,14.2
32.5,25.7,5.5,30.1,5.1
80.4,11.7,7.9,0,0
41.8,26.6,3.9,18.9,7.5
61.6,11.8,25.7,0,0
42.9,10.3,27.5,16.2,2
52.1,25,2.1,11.7,7.8
20.9,50,2.2,15.9,7.2
58.1,10.1,13.7,12.6,2.8
51.5,33.1,6.7,5.5,0
54.5,17.6,3.6,16.2,7.6
44.1,11.9,14.4,18.6,6.8
38.5,27.8,4.7,20.8,7
65,15.3,11.7,0,0
30.1,52,1.2,6.4,5.2
44.4,21.1,4.7,18.5,7.8
54.9,17,25.7,0,0
56.8,24.7,2.8,12.3,0
28.1,28.9,2.1,16.6,9.3
46.4,36.6,8.2,5.9,0
46.2,38.8,12.7,0,0
32.6,10.1,28.6,24,1.8
54.3,25.9,10.9,0,0
51.3,18.2,30.4,0,0
29.1,10.7,47.9,10.7,0
32.9,18.7,7.1,27.9,9.8
32.1,48.9,2.2,9.2,4.3
60.8,24.4,14.8,0,0
49.2,11.8,18.1,14.4,3.8
74.4,11.5,5.8,0,0
58.3,12.8,25,0,0
43.4,21.9,5.3,18.9,5.5
40.7,13.1,6.4,30.7,7.5
55.4,14.8,4.6,15.3,7
18.8,45.3,0.7,15.5,8.4
43,35.3,13.7,5.2,0
53.8,37.1,7,0,0
27.8,40.2,12.8,17.8,0
40.8,23.3,11.7,13.6,7.8
57.3,27.7,8.3,4.9,0
31.9,16.8,47.1,2.4,0
49,23.6,3.6,17,4.5
80.1,7.3,6.5,0,0
69.4,16.8,13.9,0,0
52.8,10,16.4,16.9,2.1
34.7,21.8,6.2,30.9,5.5
24.4,52.4,2.2,11.6,5.3
57.7,11.2,11.8,13.7,2.9
74.2,15.3,10.5,0,0
49.5,25.5,2.2,13.8,7.7
51.3,23.9,2.5,20,0
49.3,24.1,2.4,13.3,9.1
32.7,42.5,2.2,10,6
23.2,32.8,0.9,17.7,10.9
52.8,33.9,5.7,4.7,0
34.3,33.1,12.7,18.2,0
36.4,17.1,42.2,2,0
54.6,16.4,4.2,15.6,7.4
32.2,51,1.9,8.4,3.2
66.9,17.5,4.4,0,0
77.4,14.5,8.1,0,0
55.6,11.3,13.1,15,3.1
37.4,6.2,29.1,21.1,2.2
78.6,9.5,3.6,0,0
61,15.9,19.7,0,0
41.3,31.9,0.9,21.6,0
61.9,21.4,10.1,0,0
25.6,32.8,1.7,26.7,10
44.3,41.8,5.9,5.6,0
76.5,12.8,10.7,0,0
28.1,41.8,1.2,19.1,6.9
36.9,28.2,5,18.7,9.9
24.5,45.3,5.4,19.4,2.8
30.9,27.7,1,11,21.7
58,33.5,5.7,0,0
37.6,35.5,12.1,13.6,0
46.5,36.4,8.7,5.2,0
50.7,31.6,10,5.6,0
51.7,14.7,29.1,2.4,0
29.9,48.1,2.9,11.5,4.2
77,8.6,5.8,0,0
25,17.8,9.4,39.5,6.8
44.2,22.9,4.1,19.2,8.4
46.3,33,7.8,12,0
48.7,16,29,0,0
31.6,9.2,31.7,18,5.1
56.8,21.5,17.6,0,0
35.9,10.7,30.7,16.8,3.2
22.6,52.9,3.8,13.4,5
33,10.5,27.4,22.9,4.1
48.6,8.6,19.6,16.4,3.5
63,12.8,22.4,0,0
36.9,39.3,1.5,14.7,7.3
25.9,50.6,2.1,10.1,9.9
51.6,8.5,22.9,10.8,3.9
57.6,10.3,12.7,14,2.6
47.7,28.1,11.4,11.6,0
48.3,22.4,3.9,15.9,6.2
24.6,40.8,4.8,21.4,4.7
39.8,38.1,11.3,7.9,0
40.7,31.6,3.7,14.9,7
55.2,21.4,5.3,11.2,5.7
41.4,16.2,8.1,21.2,9.1
54.5,13.7,30.1,0,0
27.9,42.1,3.8,14.6,5.8
33.9,37.8,3.8,16.3,4.9
42.4,33.1,15,6.3,0
27,42.9,14.8,13.3,0
33.7,40.1,15.5,8.5,0
46.3,24.3,3.6,14.4,9.2
30.6,46.2,2.7,11.8,4.5
49.9,40,7.7,0,0
48.8,20.9,2.6,24.4,0
28.9,19.9,8.9,36.9,4.2
46.8,22.3,2.8,14.3,11.5
40.2,29,3,20.4,6
22.5,31.3,1,18.8,15.6
35.3,32.5,20.3,8.8,0
58.4,34.4,4.6,0,0
39,37.2,8.3,12.9,0
44.5,38,9.6,5.2,0
29.4,14.1,51.9,2.3,0
48.9,22.4,4.7,13.8,6.8
50.4,19.5,3.3,18.8,7.2
58.7,14.5,26.8,0,0
56.2,17.2,5.2,17.2,0
48.6,34.5,6.4,5.7,0
26.3,59.3,7.2,7.2,0
47,29.7,2.4,11.7,7.4
54.9,32.9,3.5,5.5,0
77.9,11.3,3,0,0
29.6,38.1,2.2,22.3,4.1
44.1,9,19.9,20.2,2.8
48.6,14,33.2,2.2,0
41.8,22.2,6.4,23,5.9
50,20.4,5.2,21,0
76.1,6.9,6.2,0,0
32.5,44.9,2.3,10.4,4.6
40.8,20,7,28.5,0
35.37244755,11.70130964,15.26162258,10.74440688,2.105430179
41.1,28.1,17.7,7.3,0
39.6,32.8,18.1,7.4,0
23.7,10.9,41.7,19.4,1.3
34.9,7.2,29.5,23.5,1.9
52.7,10.2,13.7,13.2,5.9
71.4,14.5,5.4,0,0
41.4,18.4,36.8,1.9,0
24.7,50.4,1.9,12.8,6.4
49.7,35.7,5,6.2,0
62.7,10,10.5,12.8,1.9
42,14.7,16.8,20.6,3.4
47.8,15.8,15.2,15.2,4.5
37.7,8.2,24.8,24,2.5
46.9,30.7,2.4,17.2,0
57.2,27.7,9.3,3.7,0
32.3,21.8,41.1,2.1,0
47.1,35.6,7.6,6.5,0
68.2,14.2,7.9,0,0
47.1,13.2,17.6,14.6,4.1
40.5,34.3,10.1,13.9,0
59.3,16.4,24.3,0,0
31.7,41.9,3.3,14.7,5
45.9,10,15.9,22.2,1
53.2,16.8,4,20.5,4.4
34.6,33.9,10.7,18.2,0
29.8,46.2,2.2,12.2,5.5
34,8.7,25.9,27.3,1.9
68.7,14.2,15.8,0,0
49.2,15.8,6.4,17.9,4.9
37.3,32.2,1.9,20.8,5.5
31.2,33.9,21,9.9,0
40.4,22.5,4.1,18.2,11.4
37,26.8,4.5,21.6,8.7
51.2,22.6,2.5,15.6,6.6
33.7,48.9,1.9,8.7,4.1
34.5,33.9,2.1,19.9,7.2
30.5,28.9,0,24.3,7.1
54.1,37.9,5.3,0,0
40.5,19.5,36.5,0,0
39.8,45.8,7.8,4.5,0
64.5,16.5,8.6,0,0
28.5,48,1.7,12.6,5.5
50,37.2,5.8,4.2,0
49.3,20,9.9,12.5,5.7
30.9,8.2,35.1,14.4,7.2
48.9,9.9,18.1,17.2,2.9
79.6,9.4,11.1,0,0
39,36.4,0,13.3,5.6
0,0,0,0,0
35.5,41.6,2.1,15.1,4.5
62.7,13.9,23.5,0,0
58.1,8.3,13.4,14.5,1.7
73.2,11.1,9.5,0,0
33.7,27.8,0.5,18.3,7.9
41.8,21.9,4.9,21.1,9.8
54.1,15.7,7.7,6,0
51.7,22.6,2.6,13.9,7.3
29.1,50.1,2.4,11.4,4.2
75.9,5.5,18.6,0,0
62.4,22.4,11.7,0,0
47.8,42.6,6.4,0,0
52.1,13.3,14.3,15,3.8
33.8,13.4,30.3,12,5.6
43,22.9,19.4,9.4,0
39.1,15.1,41.4,2.3,0
64.4,20.1,15.5,0,0
27.7,47.4,1.8,9.8,5.4
35.5,7.8,29.7,20.7,2.7
52.5,33.3,8,4.6,0
44.4,37.2,4.2,11.2,0
49.1,32.3,3.6,10.1,0
25.8,25.6,0.6,25.6,8.2
41.3,37,6.6,9.2,0
72.9,14.3,7.1,0,0
34.9,27.6,3.9,23,7.9
48.3,14.8,10.4,23.2,0
62.6,20.5,14.5,0,0
29.2,25.5,28,11.1,0
79.1,6.9,8.9,0,0
32.7,32.1,21.8,8.4,0
52.3,17.9,16.1,8.6,0
24.1,34.2,1.4,15.8,10.2
39.3,36.6,20.1,0,0
45.2,8.9,22.2,18,2.8
33.1,7.9,29.9,18.1,7.9
46.2,33.7,11.2,6.4,0
22,55.2,1.7,14,6.1
47.3,25.2,18.1,5.6,0
48.9,39,4.8,4.5,0
20.6,65.5,13.9,0,0
59.6,24.4,12.5,0,0
42.6,33.3,12.5,7.5,0
57.4,19.5,2.4,10.2,9.8
35.3,27.3,21.5,11.4,0
68.3,14.4,13.7,0,0
52.4,14.3,14.3,11.9,0
41.6,14,6.1,30.8,6.6
68.8,15.3,8.2,4.7,0
45.5,42.4,5.4,4.3,0
42,30.2,2.6,16.8,6.7
33.8,49.5,0.9,9.2,3.1
49.9,16.4,2.8,16.9,10.8
43,26.4,1.9,21.2,5
49.2,26.8,2.9,18,0
42.9,27.8,3.2,18.8,6.5
32.9,28.5,1.2,18.2,6.9
38.1,35.4,13.7,9.9,0
60.6,29.9,5.8,0,0
50.9,31.1,7.4,8,0
35.1,47.5,3.9,8.4,0
39.2,25.1,21.1,9.3,0
37.3,40,13.2,7,0
49,34.9,8.5,5.4,0
39.5,34.9,13.3,9.2,0
50.4,11.2,32.8,2.7,0
31.9,37.2,4,18.4,7.6
74.6,12.9,12.6,0,0
72.5,12.3,15.2,0,0
46.8,29.5,3.5,12.6,6
28.9,51.9,1.7,11.4,2.9
52.7,35.8,8.3,0,0
75.7,9.2,7.5,0,0
34.9,7.9,31.7,15.9,7.9
27.7,12.9,15.5,37.6,5.2
52.4,8.7,37.8,0,0
48.4,28.2,2.7,14.9,4.6
25.1,34.9,0.6,17.9,8.9
37.6,42.4,11.7,4.8,0
