Vote_Data_Donald_Trump_Percent_of_Votes,Vote_Data_Ted_Cruz_Percent_of_Votes,Vote_Data_John_Kasich_Percent_of_Votes,Vote_Data_Marco_Rubio_Percent_of_Votes,Vote_Data_Ben_Carson_Percent_of_Votes
44.3,37.7,9.9,5.2,0
30.1,13.4,18.9,27.7,3.3
37.8,46.3,3.6,9.7,0
24.6,48,2,13.2,9.4
57.5,22.3,18.4,0,0
24,63.1,12.9,0,0
67.6,8.3,8.8,0,0
52.6,21.8,9,14.1,1.9
30.5,41.2,2.6,18.8,5.8
36.9,10.1,28.2,19.8,2.5
63.1,24.6,9.2,0,0
48.8,26.2,3.2,13,7.5
35,29.6,5.2,21.2,8.4
25.9,50,2.1,14.1,3.3
47,12.3,18.2,17.7,3.5
36.01098973,13.19421731,16.0921044,9.838424805,2.551187283
54.2,22.5,9.8,11.8,0
25.8,44.5,3.9,15.4,5.3
55.5,11,11.7,17.3,2.1
39.5,7.7,25.2,23.9,1.6
49.3,18.2,27.8,3.2,0
55.9,17.3,3.3,10.7,11.4
32.8,51.4,6.1,6.7,0
75.2,12.6,12.2,0,0
43.9,11.6,16.6,19.8,4.7
45.3,13.7,19.7,14.5,2.6
27.9,28.1,5.4,30.3,6
25.1,36.5,1.7,15,10.5
54.7,33.5,8,0,0
55.4,32,7,3.4,0
53.7,37.6,3,3.3,0
56.7,19.4,23.9,0,0
51.9,25.6,3.3,12.5,5.5
75.6,12.3,7.7,0,0
40.6,24.8,21.4,8.4,0
82,5.7,12.3,0,0
34,22.6,5.6,22.3,5.9
76.1,10.6,5.5,0,0
60.2,11,10.4,13.3,3.9
59.8,21.5,16.5,0,0
33.1,16.9,20,17.7,3.8
65.8,9.4,22.9,0,0
45.3,13.2,18,19,2.5
35,12.4,29.3,16.3,4.6
67.8,12.7,10.3,0,0
36.5,5.3,28.5,20.9,4.9
55.2,25.4,2.3,8.5,6.3
35.6,30,19.2,10.7,0
38.2,52,4.8,3.3,0
63.5,11.7,23.1,0,0
63.6,10.6,23.1,0,0
38.3,12.8,29.5,11.4,5.4
70.6,9.9,17,0,0
44.8,10.1,20,20.5,1.9
24.7,40.8,4.7,23.2,3.6
49.4,25.5,2.1,11.2,9.9
38.8,22.2,7.2,22.9,7.6
37.7,47.4,3.3,7.8,0
80.6,9.1,2.6,0,0
60.6,9.2,11.6,13.9,1.9
17.1,49.7,4.4,25.2,0
23,26.8,0.9,26.2,8.4
51.8,40.7,5.1,0,0
62.2,9.8,8.3,15.1,2.6
56.9,32.6,3.8,3.9,0
34.7,23.7,22.9,15.2,0
77.4,8.7,4.2,0,0
31.2,36.8,2,20.9,6.8
61.2,24.2,12,0,0
29.5,45.8,3.3,13.7,3.7
