State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Minnesota,0.00020949903543152437,0.00020592274663503511,0.00019585392310473665,0.00021065084369875918,0.00022302511262768188,0.00023427413197095695,0.0002106832055885026,0.000174873131257715,0.00017336030049118752,0.0001647140459026505,0.00013824747698354506,0.0001346587014004505,0.00013288966835285005,0.00012217598927643887,0.00010965752041718595,0.00010821547446376615,0.00011429515933624404
Mississippi,0.00013816528021645894,0.00013454249825381012,0.0001348548015482479,0.00014144146533358085,0.00014209226322742924,0.00014252055176679999,0.00013291445142580956,0.0001338899186841894,0.00011988071868490851,0.00011320406223840179,0.00011269142714795791,0.00010037848593815504,8.896401405631422e-05,8.458064613572173e-05,7.990583404787589e-05,7.44070686715238e-05,7.908689435256304e-05
Missouri,0.00019728196365557114,0.00019440487225267034,0.00020951215782229697,0.0002249656388099626,0.0001911019157572216,0.00018433947958560484,0.00017562851057443296,0.00014759872412555523,0.0001376188874277501,0.00013596899295863945,0.00013738486385159992,0.00012949539453438027,0.00012639202542459344,0.00011799410029498526,9.45900683529543e-05,8.651525971880967e-05,9.405208253628179e-05
Montana,0.00023224757591592637,0.00022510903718988884,0.00025693730729701953,0.0002695643282735799,0.00023683886431027785,0.00023711066428923707,0.00024657638177610864,0.00022673680391801197,0.00019810760072828127,0.0001865793475320217,0.00018348792190754043,0.00015363065383398853,0.00014350290593384516,0.0001438021282714984,0.00013585356796754007,0.00013617175797739548,0.00013685631911244115
Nebraska,0.000249266862170088,0.00022514215092188527,0.00023707581210319435,0.00023805329537176782,0.00020564126598502167,0.00019169114722359333,0.0001915213498424737,0.00018187923218982596,0.00015595605938026962,0.0001605675332447779,0.00016421075000845202,0.00015751188498768545,0.000132286381117064,0.00011262001069890101,0.00012651347602803914,0.00012217069125116883,0.00011346283855656359
Nevada,0.00016231432400721604,0.00017949077154764823,0.0001960187343862737,0.00017879710186152165,0.00017631332928769416,0.00017357380192749574,0.00016615065406623333,0.00018273859050225896,0.00017875273491684422,0.0001663239920589141,0.0001401232383881624,0.00012524570772522484,0.00011776971863428692,0.000111339589226503,0.00011577119402199652,0.00010233716921274486,0.00010237293400828868
New Hampshire,0.00023165128759507355,0.0002085117474029117,0.00021184892979764775,0.00021933832937305795,0.00022361192895103645,0.0002036997917735462,0.000194430319164847,0.00018548110946239014,0.0001601502500527768,0.00017272275838245137,0.00019285163281049114,0.00017001381362235683,0.00014041689776947758,0.00011913438358468352,0.00012651466164356601,0.0001480917322501481,0.00014262588517189985
New Jersey,0.0001655953532174166,0.0001531296015445264,0.00015495086015744928,0.00015639717774183803,0.00015961092489836539,0.0001677424314964372,0.0001583276924312479,0.00014534417959505052,0.00014538959218219393,0.00015862527802218244,0.0001424090870560312,0.00011898427836035175,0.00011405645123415789,0.00011209329749336969,0.00011116376106303996,9.886094015617756e-05,8.363845882199877e-05
New Mexico,0.00022788127385632085,0.00021090565639800648,0.00018692420668476567,0.0001720153137735749,0.00018098588751506376,0.00019025622646685338,0.00018864530733830247,0.0001617443914039413,0.00016438891752119285,0.00015452402186294162,0.00014032810464968405,0.00013120661981132488,0.00011890239874579988,0.00011624683674473089,0.00010874638078451452,9.588034133401515e-05,0.0001062105462454572
New York,0.0001586071639369539,0.00015775081524937572,0.0001697551866794861,0.00016709841669503069,0.0001569424310382568,0.00016994115167811254,0.00018120633921649915,0.00016584963741067142,0.00014215727691030546,0.00013021321075454097,0.00012882703210155672,0.00011924252858471176,0.00011577652617469421,0.00011148383620885791,9.78654660599317e-05,8.978491260059612e-05,9.255279817139301e-05
North Carolina,0.00016558616932955874,0.00013946813153194496,0.00014701771229301967,0.00014443914834233855,0.00015431078191477637,0.00016295890198076007,0.0001466990600706266,0.00013787454227679531,0.000124047809017978,0.00011514767689561863,0.00012381713840356516,0.00012231499619780515,0.00010918243066445039,9.01387282469156e-05,7.348688593117428e-05,8.311319355834972e-05,8.715642328782144e-05
